有关	you guan 
每日	mei ri 
交货	jiao huo 
抵押	di ya 
转交	zhuan jiao 
制度	zhi du 
公共事务	gong gong shi wu 
污染	wu ran 
中央军事委员会	zhong yang jun shi wei yuan hui 
选区	xuan qu 
正在	zheng zai 
证明	zheng ming 
市场经济	shi chang jing ji 
违约	wei yue 
再审	zai shen 
范围	fan wei 
必须	bi xu 
保险费	bao xian fei 
认缴	ren jiao 
组织	zu zhi 
弱势群体	ruo shi qun ti 
标的	biao di 
援引	yuan yin 
无期徒刑	wu qi tu xing 
人员	ren yuan 
设定	she ding 
根据	gen ju 
缺席判决	que xi pan jue 
知情人	zhi qing ren 
之间	zhi jian 
定罪	ding zui 
下级	xia ji 
房地产	fang di chan 
卖方	mai fang 
不合理	bu he li 
经济	jing ji 
人民调解	ren min tiao jie 
常委会	chang wei hui 
上诉	shang su 
伤害案	shang hai an 
一定	yi ding 
选项	xuan xiang 
内容	nei rong 
地方性	di fang xing 
犯罪行为	fan zui xing wei 
规定	gui ding 
参加者	can jia zhe 
职权	zhi quan 
充分	chong fen 
民主	min zhu 
查阅	cha yue 
自治机关	zi zhi ji guan 
意义	yi yi 
世界大同	shi jie da tong 
预防	yu fang 
正确	zheng que 
证人	zheng ren 
直接	zhi jie 
全国人民代表大会	quan guo ren min dai biao da hui 
二年	er nian 
武装力量	wu zhuang li liang 
退回	tui hui 
出版物	chu ban wu 
情节严重	qing jie yan zhong 
教唆	jiao suo 
调解	tiao jie 
副检察长	fu jian cha zhang 
不全	bu quan 
上级法院	shang ji fa yuan 
叙述	xu shu 
公法	gong fa 
侵权行为	qin quan xing wei 
风险	feng xian 
秘密	mi mi 
处理	chu li 
纲常	gang chang 
他人	ta ren 
关于	guan yu 
依据	yi ju 
建立	jian li 
执法为民	zhi fa wei min 
常务会议	chang wu hui yi 
至少	zhi shao 
哪些	nei xie 
环境	huan jing 
缔结	di jie 
改嫁	gai jia 
国籍	guo ji 
每周	mei zhou 
特点	te dian 
