公车站	gong che zhan 
照相机	zhao xiang ji 
受不了	shou bu liao 
没有	mei you 
真的	zhen de 
方寸大乱	fang cun da luan 
亲爱	qin ai 
追逐	zhui zhu 
什么	shen me 
记录	ji lu 
生命	sheng ming 
然后	ran hou 
为什么	wei shen me 
一半	yi ban 
破坏	po huai 
六点半	liu dian ban 
抱怨	bao yuan 
困难	kun nan 
家长	jia zhang 
妨碍	fang ai 
每次	mei ci 
试试看	shi shi kan 
考虑	kao lv 
觉得	jue de 
规划	gui hua 
加拿大	jia na da 
权利	quan li 
弟弟	di di 
开心	kai xin 
教室	jiao shi 
需求	xu qiu 
诉诸	su zhu 
桌子	zhuo zi 
超过	chao guo 
她们	ta men 
游学	you xue 
天妇	tian fu 
收到	shou dao 
观察	guan cha 
我们	wo men 
空气污染	kong qi wu ran 
万事如意	wan shi ru yi 
纸条	zhi tiao 
至少	zhi shao 
一边	yi bian 
所以	suo yi 
糊涂	hu tu 
坐在	zuo zai 
与此同时	yu ci tong shi 
别忘了	bie wang le 
以外	yi wai 
汉字	han zi 
尚未	shang wei 
污染	wu ran 
交朋友	jiao peng you 
还会	hai hui 
诉取	su qu 
迟到	chi dao 
祝你开心	zhu ni kai xin 
还有	hai you 
上班	shang ban 
那里	na li 
终于	zhong yu 
办法	ban fa 
安静	an jing 
毅力	yi li 
睡觉	shui jiao 
礼拜	li bai 
一下	yi xia 
卧房	wo fang 
恢复	hui fu 
怎么	zen me 
辛苦	xin ku 
想像中	xiang xiang zhong 
特征	te zheng 
简讯	jian xun 
哪个	nei ge 
旅行	lv xing 
方便	fang bian 
情况	qing kuang 
请进来	qing jin lai 
知道	zhi dao 
一直	yi zhi 
选择	xuan ze 
可以	ke yi 
国立	guo li 
因为	yin wei 
不怎么	bu zen me 
解决	jie jue 
东西	dong xi 
记得	ji de 
解释	jie shi 
真正	zhen zheng 
不必	bu bi 
女朋友	nv peng you 
纪念	ji nian 
大概	da gai 
冲动	chong dong 
一笔	yi bi 
现在	xian zai 
超级市场	chao ji shi chang 
身体健康	shen ti jian kang 
实施	shi shi 
生活品质	sheng huo pin zhi 
心情	xin qing 
年轻	nian qing 
补习班	bu xi ban 
困境	kun jing 
家里	jia li 
旁边	pang bian 
得到	de dao 
稀薄	xi bo 
优家	you jia 
地方	di fang 
功课	gong ke 
郊区	jiao qu 
他们	ta men 
了解	liao jie 
再见	zai jian 
相片	xiang pian 
好好儿	hao hao er 
懂得	dong de 
麻烦	ma fan 
妈妈	ma ma 
哪有	na you 
有山	you shan 
告诉	gao su 
再加	zai jia 
